"Source: Forbes Billionaires List Data - Forbes 400, Oct. 9, 2000. Data came from the magazine.",,,,,,,,,,,,,,,,,,,,,,,,
Richard T. Farmer,Farmer,175,"$1,600 ",65,Cintas Corp.,,M,Cincinnati,OH,$1.6 ,,,,,,,,,,,,,,
John Hammond Krehbiel,Krehbiel,175,"$1,600 ",63,Molex Inc.,,M,Lake Forrest,IL,$1.6 ,,,,,,,,,,,,,,
Mary Alice Dorrance Malone,Malone,175,"$1,600 ",50,Inheritance (Campbell Soup),,F,Coatesville,PA,$1.6 ,,,,,,,,,,,,,,
Alfred Mann,Mann,175,"$1,600 ",75,,,M,,,$1.6 ,,,,,,,,,,,,,,
Bruce R. McCaw,McCaw,175,"$1,600 ",,,,M,,,$1.6 ,,,,,,,,,,,,,,
Keith W. McCaw,McCaw,175,"$1,600 ",46,McCaw Communications,,M,Seattle,WA,$1.6 ,,,,,,,,,,,,,,
John Elroy McCaw,McCaw,175,"$1,600 ",49,,,M,,,$1.6 ,,,,,,,,,,,,,,
"Robert Edward Rich, Sr. ",Rich,175,"$1,600 ",87,Rich Products Corp,,M,Buffalo,NY,$1.6 ,,,,,,,,,,,,,,
"Clemmie Dixon Spangler, Jr.",Spangler,175,"$1,600 ",68,Investments,,M,Charlotte,NC,$1.6 ,,,,,,,,,,,,,,
Jackson Thomas Stephens,Stephens,175,"$1,600 ",77,Investment banking,,M,Little Rock,AK,$1.6 ,,,,,,,,,,,,,,
"James Evans Stowers, Jr.",Stowers,175,"$1,600 ",76,Mutual Funds,,M,Kansas City,MO,$1.6 ,,,,,,,,,,,,,,
Jay S. Walker,Walker,175,"$1,600 ",44,Priceline.com,,M,Stamford,CT,$1.6 ,,,,,,,,,,,,,,
John Arrillaga,Arrillaga,189,"$1,500 ",63,Real estate,,M,Palo Alto,CA,$1.5 ,,,,,,,,,,,,,,
Perry Richardson Bass,Bass,189,"$1,500 ",85,"Oil, investments",,M,Fort Worth,TX,$1.5 ,,,,,,,,,,,,,,
Carl Edwin Berg,Berg,189,"$1,500 ",63,"Real estate, investments",,M,Atherton,CA,$1.5 ,,,,,,,,,,,,,,
Stephen M. Case,Case,189,"$1,500 ",42,America Online,,M,McLean,VA,$1.5 ,,,,,,,,,,,,,,
David A. Duffield,Duffield,189,"$1,500 ",60,PeopleSoft Inc.,,M,Lake Tahoe,CA,$1.5 ,,,,,,,,,,,,,,
Robert J. Fisher,Fisher,189,"$1,500 ",46,Gap,,M,San Francisco,CA,$1.5 ,,,,,,,,,,,,,,
Robert William Galvin,Galvin,189,"$1,500 ",77,Motorola,,M,Barrington Hills,IL,$1.5 ,,,,,,,,,,,,,,
Richard N. Goldman,Goldman,189,"$1,500 ",80,Inheritance (Levi Strauss),,M,San Francisco,CA,$1.5 ,,,,,,,,,,,,,,
Stanley Stub Hubbard,Hubbard,189,"$1,500 ",67,Broadcasting,,M,St. Mary's Point,MN,$1.5 ,,,,,,,,,,,,,,
Irwin Mark Jacobs,Jacobs,189,"$1,500 ",66,Qualcomm,,M,San Diego,CA,$1.5 ,,,,,,,,,,,,,,
Henry R. Kravis,Kravis,189,"$1,500 ",56,Leveraged buyouts,,M,New York,NY,$1.5 ,,,,,,,,,,,,,,
Joseph A. Liemandt,Liemandt,189,"$1,500 ",32,Software,,M,Austin,TX,$1.5 ,,,,,,,,,,,,,,
Richard Taylor Peery,Peery,189,"$1,500 ",60,Real estate,,M,Palo Alto,CA,$1.5 ,,,,,,,,,,,,,,
Richard Edward Rainwater,Rainwater,189,"$1,500 ",56,Investments,,M,Forth Worth,TX,$1.5 ,,,,,,,,,,,,,,
George R. Roberts,Roberts,189,"$1,500 ",56,Leveraged buyouts,,M,San Francisco,CA,$1.5 ,,,,,,,,,,,,,,
Laurance Spelman Rockefeller,Rockefeller,189,"$1,500 ",90,Inheritance (oil),,M,New York,NY,$1.5 ,,,,,,,,,,,,,,
Harold Clark Simmons,Simmons,189,"$1,500 ",69,Investments,,M,Dallas,TX,$1.5 ,,,,,,,,,,,,,,
John Albert Sobrato,Sobrato,189,"$1,500 ",61,Real estate,,M,San Jose,CA,$1.5 ,,,,,,,,,,,,,,
Bennett Dorrance,Dorrance,207,"$1,400 ",53,Inheritance (Campbell Soup),,M,Paradise Valley,AZ,$1.4 ,,,,,,,,,,,,,,
Jerry A. Greenberg,Greenberg,207,"$1,400 ",36,Sapient,,M,Cambridge,MA,$1.4 ,,,,,,,,,,,,,,
"Rupert Johnson, Jr.",Johnson,207,"$1,400 ",60,Franklin Resources,,M,San Mateo,CA,$1.4 ,,,,,,,,,,,,,,
Harold Fitzgerald Lenfest,Lenfest,207,"$1,400 ",70,Cable TV,,M,Huntingdon Valley,PA,$1.4 ,,,,,,,,,,,,,,
William S. Levine,Levine,207,"$1,400 ",68,"Outdoor Systems, Inc.",,M,Phoenix,AZ,$1.4 ,,,,,,,,,,,,,,
Robert C. McNair,McNair,207,"$1,400 ",63,Energy,,M,Houston,TX,$1.4 ,,,,,,,,,,,,,,
J. Stuart Moore,Moore,207,"$1,400 ",38,Sapient,,M,Cambridge,MA,$1.4 ,,,,,,,,,,,,,,
Arturo Moreno,Moreno,207,"$1,400 ",54,Outdoor Systems,,M,Phoenix,AZ,$1.4 ,,,,,,,,,,,,,,
Rajendra Singh,Singh,207,"$1,400 ",45,Teligent,,M,Alexandria,VA,$1.4 ,,,,,,,,,,,,,,
Jay Van Andel,Van Andel,207,"$1,400 ",76,Amway,,M,Ada,MI,$1.4 ,,,,,,,,,,,,,,
Monte Zweben,Zweben,207,"$1,400 ",36,Blue Martini Software,,M,San Francisco,CA,$1.4 ,,,,,,,,,,,,,,
Edward Perry Bass,Bass,218,"$1,300 ",55,Oil,,M,Fort Worth,TX,$1.3 ,,,,,,,,,,,,,,
Archie Aldis Emmerson,Emmerson,218,"$1,300 ",71,Sierra Pacific Industries,,M,Redding,CA,$1.3 ,,,,,,,,,,,,,,
John J. Fisher,Fisher,218,"$1,300 ",39,Gap,,M,San Francisco,CA,$1.3 ,,,,,,,,,,,,,,
Barbara Carlson Gage,Gage,218,"$1,300 ",58,Inheritance (travel services),,F,Minneapolis,MN,$1.3 ,,,,,,,,,,,,,,
Jeffrey C. Hawkins,Hawkins,218,"$1,300 ",43,Handspring,,M,Mountain View,CA,$1.3 ,,,,,,,,,,,,,,
Jess Stonestreet Jackson,Jackson,218,"$1,300 ",70,Wine,,M,Healdsburg,CA,$1.3 ,,,,,,,,,,,,,,
Jim Jannard,Jannard,218,"$1,300 ",51,Sunglasses,,M,San Juan Islands,WA,$1.3 ,,,,,,,,,,,,,,
Kenneth G. Langone,Langone,218,"$1,300 ",65,Investments,,M,Long Island,NY,$1.3 ,,,,,,,,,,,,,,
Marilyn Carlson Nelson,Nelson,218,"$1,300 ",61,Inheritance (travel services),,F,Minneapolis,MN,$1.3 ,,,,,,,,,,,,,,
Mitchell Rales,Rales,218,"$1,300 ",43,Danaher Corp.,,M,Washington,DC,$1.3 ,,,,,,,,,,,,,,
Steven Rales,Rales,218,"$1,300 ",48,Danaher Corp.,,M,Washington,DC,$1.3 ,,,,,,,,,,,,,,
Donald R. Scifres,Scifres,218,"$1,300 ",54,Fiber Optics,,M,San Jose,CA,$1.3 ,,,,,,,,,,,,,,
Herbert Siegel,Siegel,218,"$1,300 ",71,Media,,M,New York City,NY,$1.3 ,,,,,,,,,,,,,,
Kenny A. Troutt,Troutt,218,"$1,300 ",52,Excel Communications,,M,Dallas,TX,$1.3 ,,,,,,,,,,,,,,
Romesh T. Wadhwani,Wadhwani,218,"$1,300 ",52,Software,,M,Mountain View,CA,$1.3 ,,,,,,,,,,,,,,
Daniel Morton Ziff,Ziff,218,"$1,300 ",28,Inheritance (publishing),,M,New York,NY,$1.3 ,,,,,,,,,,,,,,
Dirk Edward Ziff,Ziff,218,"$1,300 ",36,Publishing,,M,New York,NY,$1.3 ,,,,,,,,,,,,,,
Robert David Ziff,Ziff,218,"$1,300 ",33,Ziff Brother Investments,,M,New York,NY,$1.3 ,,,,,,,,,,,,,,
John E. Abele,Abele,236,"$1,200 ",62,Medical devices,,M,Boston,MA,$1.2 ,,,,,,,,,,,,,,
"Franklin Otis Booth, Jr.",Booth,236,"$1,200 ",77,Investments,,M,Los Angeles,CA,$1.2 ,,,,,,,,,,,,,,
Scott D. Cook,Cook,236,"$1,200 ",48,Intuit Inc.,,M,Woodside,CA,$1.2 ,,,,,,,,,,,,,,
Frederick Woodruff Field,Field,236,"$1,200 ",48,Media,,M,Beverly Hills,CA,$1.2 ,,,,,,,,,,,,,,
Edward Lewis Gaylord,Gaylord,236,"$1,200 ",81,Broadcasting,,M,Oklahoma City,OK,$1.2 ,,,,,,,,,,,,,,
Marguerite Harbert,Harbert,236,"$1,200 ",77,Construction,,F,Birmingham,AL,$1.2 ,,,,,,,,,,,,,,
Bradley Wayne Hughes,Hughes,236,"$1,200 ",67,Public Storage Inc,,M,Bel Air,CA,$1.2 ,,,,,,,,,,,,,,
"Joseph Dahr Jamail, Jr. ",Jamail,236,"$1,200 ",74,Lawsuits,,M,Houston,TX,$1.2 ,,,,,,,,,,,,,,
Steve Paul Jobs,Jobs,236,"$1,200 ",45,Apple Computers,,M,Palo Alto,CA,$1.2 ,,,,,,,,,,,,,,
William S. Kellogg,Kellogg,236,"$1,200 ",57,Kohl's Corp,,M,Oconomowoc,WI,$1.2 ,,,,,,,,,,,,,,
Michael Krasny,Krasny,236,"$1,200 ",47,Computer discount warehouse,,M,Vernon Hills,IL,$1.2 ,,,,,,,,,,,,,,
George L. Lindemann,Lindemann,236,"$1,200 ",64,"Cable, cellular",,M,Greenwich,CT,$1.2 ,,,,,,,,,,,,,,
Robert M. Marino,Marino,236,"$1,200 ",62,Data storage,,M,Sherborn,MA,$1.2 ,,,,,,,,,,,,,,
Richard Edwin Marriott,Marriott,236,"$1,200 ",61,Hotels,,M,Potomac,MD,$1.2 ,,,,,,,,,,,,,,
E. Pierce Marshall,Marshall,236,"$1,200 ",61,Oil,,M,Dallas,TX,$1.2 ,,,,,,,,,,,,,,
Sydell Miller,Miller,236,"$1,200 ",62,Matrix Essentials,,F,Cleveland,OH,$1.2 ,,,,,,,,,,,,,,
James Martin Moran,Moran,236,"$1,200 ",82,Toyotas,,M,Hillsboro Beach,FL,$1.2 ,,,,,,,,,,,,,,
Peter M. Nicholas,Nicholas,236,"$1,200 ",,,,M,,,$1.2 ,,,,,,,,,,,,,,
Winthrop Paul Rockefeller,Rockefeller,236,"$1,200 ",88,,,M,,,$1.2 ,,,,,,,,,,,,,,
Michael Saylor,Saylor,236,"$1,200 ",35,,,M,,,$1.2 ,,,,,,,,,,,,,,
Richard Mellon Scaife,Scaife,236,"$1,200 ",67,Inheritance,,M,Pittsburgh,PA,$1.2 ,,,,,,,,,,,,,,
Kenneth Tuchman,Tuchman,236,"$1,200 ",39,TeleTech,,M,Denver,CO,$1.2 ,,,,,,,,,,,,,,
Todd Wagner,Wagner,236,"$1,200 ",40,Broadcast.com,,M,Dallas,TX,$1.2 ,,,,,,,,,,,,,,
Mortimer Benjamin Zuckerman,Zuckerman,236,"$1,200 ",63,Real estate,,M,New York,NY,$1.2 ,,,,,,,,,,,,,,
Mary Anselmo,Anselmo,260,"$1,100 ",71,PanAmSat Corp.,,F,Greenwich,CT,$1.1 ,,,,,,,,,,,,,,
William Alfred Cook,Cook,260,"$1,100 ",69,Catheters,,M,Bloomington,IN,$1.1 ,,,,,,,,,,,,,,
Roy Edward Disney,Disney,260,"$1,100 ",70,Inheritance (Walt Disney),,M,Los Angeles,CA,$1.1 ,,,,,,,,,,,,,,
Thomas John Flatley,Flatley,260,"$1,100 ",68,Real estate,,M,Milton,MA,$1.1 ,,,,,,,,,,,,,,
Christopher Goldsbury,Goldsbury,260,"$1,100 ",57,Salsa,,M,San Antonio,TX,$1.1 ,,,,,,,,,,,,,,
Peter R. Kellogg,Kellogg,260,"$1,100 ",57,"Spear, Leeds and Kellogg",,M,Short Hills,NJ,$1.1 ,,,,,,,,,,,,,,
Timothy Koogle,Koogle,260,"$1,100 ",49,Yahoo,,M,Santa Clara,CA,$1.1 ,,,,,,,,,,,,,,
Frederick A. Krehbiel,Krehbiel,260,"$1,100 ",59,Molex Inc.,,M,Hinsdale,IL,$1.1 ,,,,,,,,,,,,,,
Vincent K. McMahon,McMahon,260,"$1,100 ",55,Pro wrestling,,M,Greenwich,CT,$1.1 ,,,,,,,,,,,,,,
Charles Munger,Munger,260,"$1,100 ",76,Berkshire Hathaway,,M,Los Angeles,CA,$1.1 ,,,,,,,,,,,,,,
David S. Oros,Oros,260,"$1,100 ",,Aether Systems,,M,Owings Mills,MD,$1.1 ,,,,,,,,,,,,,,
Patrick George Ryan,Ryan,260,"$1,100 ",63,Insurance,,M,Winnetka,IL,$1.1 ,,,,,,,,,,,,,,
Roy Merrill Speer,Speer,260,"$1,100 ",68,Television,,M,Clearwater,FL,$1.1 ,,,,,,,,,,,,,,
John W. Stanton,Stanton,260,"$1,100 ",45,VoiceStream Wireless,,M,Bellevue,WA,$1.1 ,,,,,,,,,,,,,,
Richard L. Adams,Adams,274,"$1,000 ",43,UUNet,,M,Fairfax,VA,$1.0 ,,,,,,,,,,,,,,
Sheldon Adelson,Adelson,274,"$1,000 ",67,"Trade shows, casinos",,M,Las Vegas,NV,$1.0 ,,,,,,,,,,,,,,
John Chambers,Chambers,274,"$1,000 ",51,Cisco Systems,,M,Los Altos,CA,$1.0 ,,,,,,,,,,,,,,
Robert Henry Dedman,Dedman,274,"$1,000 ",74,Country clubs,,M,Dallas,TX,$1.0 ,,,,,,,,,,,,,,
Robert J. Desantis,Desantis,274,"$1,000 ",36,Ariba,,M,Mountain View,CA,$1.0 ,,,,,,,,,,,,,,
L. John Doerr,Doerr,274,"$1,000 ",49,Venture capital,,M,Menlo Park,CA,$1.0 ,,,,,,,,,,,,,,
Stanley Druckenmiller,Druckenmiller,274,"$1,000 ",48,Money management,,M,New York,NY,$1.0 ,,,,,,,,,,,,,,
Pincus Green,Green,274,"$1,000 ",65,Commodities trader,,M,Meggen,,$1.0 ,,,,,,,,,,,,,,
John Charles Haas,Haas,274,"$1,000 ",82,Rohm and Haas,,M,Villanova,PA,$1.0 ,,,,,,,,,,,,,,
Dorrance Hill Hamilton,Hamilton,274,"$1,000 ",72,Inheritance (Campbell Soup), ,F,Wayne,PA,$1.0 ,,,,,,,,,,,,,,
William Randolph Hearst III,Hearst,274,"$1,000 ",51,Inheritance,,M,San Francisco,CA,$1.0 ,,,,,,,,,,,,,,
Vinod Khosla,Khosla,274,"$1,000 ",45,Venture capital,,M,Menlo Park,CA,$1.0 ,,,,,,,,,,,,,,
Jerome Spiegel Kohlberg Jr,Kohlberg,274,"$1,000 ",75,Leveraged buyouts,,M,Mount Kisco,NY,$1.0 ,,,,,,,,,,,,,,
"Robert Drayton McLane, Jr.",McLane,274,"$1,000 ",64,McLane Co.,,M,Temple,TX,$1.0 ,,,,,,,,,,,,,,
Clark McLeod,McLeod,274,"$1,000 ",53,Telephone services,,M,Cedar Rapids,IA,$1.0 ,,,,,,,,,,,,,,
David Howard Murdock,Murdock,274,"$1,000 ",77,Investments,,M,Bel Air,CA,$1.0 ,,,,,,,,,,,,,,
Gregory Reyes,Reyes,274,"$1,000 ",37,Brocade Communications,,M,San Jose,CA,$1.0 ,,,,,,,,,,,,,,
Marc David Rich,Rich,274,"$1,000 ",66,,,M,,,$1.0 ,,,,,,,,,,,,,,
Julian H Robertson Jr,Robertson,274,"$1,000 ",68,Tiger Systems,Tech,M,,,$1.0 ,,,,,,,,,,,,,,
Charles Simonyi,Simonyi,274,"$1,000 ",52,,,M,,,$1.0 ,,,,,,,,,,,,,,
Dale Skeen,Skeen,274,"$1,000 ",45,,,M,,,$1.0 ,,,,,,,,,,,,,,
Martha Stewart,Stewart,274,"$1,000 ",59,Media,,F,Westport,CT,$1.0 ,,,,,,,,,,,,,,
Charlotte Colket Weber,Weber,274,"$1,000 ",57,Inheritance (Campbell Soup),,F,Ocala,FL,$1.0 ,,,,,,,,,,,,,,
Donald J. Schneider,Schneider,274,"$1,000 ",64,Trucking,,M,Green Bay,WI,$1.0 ,,,,,,,,,,,,,,
Dean White,White,274,"$1,000 ",77,Billboards,,M,Crown Point,IN,$1.0 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
